# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.011462 -----------------
#dely    BF
0.050  0.0209  0.0008
0.150  0.0200  0.0007
0.250  0.0150  0.0006
0.350  0.0110  0.0005
0.450  0.0029  0.0001
0.550  0.0024  0.0001
0.650  0.0033  0.0002
0.750  0.0093  0.0006
0.850  0.0025  0.0002
0.950  0.0087  0.0006
1.050  0.0088  0.0008
1.150  0.0037  0.0004
1.250  0.0035  0.0004
1.350  0.0009  0.0002
1.450  0.0015  0.0004
1.550  0.0002  0.0001
1.650  0.0000  0.0000
1.750  0.0000  0.0000
