# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00391526 -----------------
#dely    BF
0.050  0.0153  0.0014
0.150  0.0175  0.0016
0.250  0.0223  0.0020
0.350 -0.0159 -0.0015
0.450 -0.0127 -0.0013
0.550  0.0202  0.0023
0.650 -0.0004 -0.0001
0.750 -0.0066 -0.0009
0.850 -0.0055 -0.0010
0.950  0.0063  0.0011
1.050 -0.0016 -0.0005
1.150 -0.0023 -0.0008
1.250  0.0040  0.0015
1.350  0.0005  0.0003
1.450 -0.0020 -0.0011
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
