# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0151709 -----------------
#dely    BF
0.050  0.0232  0.0005
0.150  0.0202  0.0004
0.250  0.0277  0.0006
0.350  0.0212  0.0005
0.450  0.0117  0.0003
0.550  0.0156  0.0004
0.650  0.0103  0.0003
0.750  0.0058  0.0002
0.850  0.0077  0.0003
0.950  0.0042  0.0002
1.050  0.0015  0.0001
1.150 -0.0002 -0.0000
1.250  0.0004  0.0000
1.350  0.0009  0.0001
1.450  0.0016  0.0002
1.550 -0.0001 -0.0000
1.650  0.0001  0.0000
1.750  0.0000  0.0000
