# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0157147 -----------------
#dely    BF
0.050  0.0239  0.0005
0.150  0.0253  0.0005
0.250  0.0216  0.0004
0.350  0.0182  0.0004
0.450  0.0162  0.0004
0.550  0.0172  0.0004
0.650  0.0092  0.0003
0.750  0.0107  0.0003
0.850  0.0047  0.0002
0.950  0.0042  0.0002
1.050  0.0036  0.0002
1.150  0.0030  0.0002
1.250  0.0004  0.0000
1.350 -0.0007 -0.0001
1.450 -0.0001 -0.0000
1.550 -0.0001 -0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
