# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0108744 -----------------
#dely    BF
0.050  0.0100  0.0002
0.150  0.0079  0.0002
0.250  0.0108  0.0003
0.350  0.0128  0.0003
0.450  0.0099  0.0003
0.550  0.0148  0.0004
0.650  0.0092  0.0003
0.750  0.0110  0.0004
0.850  0.0066  0.0002
0.950  0.0076  0.0003
1.050  0.0010  0.0000
1.150  0.0038  0.0002
1.250  0.0027  0.0002
1.350  0.0002  0.0000
1.450  0.0002  0.0000
1.550  0.0001  0.0000
1.650  0.0001  0.0000
1.750  0.0000  0.0000
